Exp,NB,BEA,BOA,BL,x1,x2,x3,x4
1,6,0,0,26,-1,-1,-1,-1
2,14,0,0,26,1,-1,-1,-1
3,6,30,0,26,-1,1,-1,-1
4,14,30,0,26,1,1,-1,-1
5,6,0,90,26,-1,-1,1,-1
6,14,0,90,26,1,-1,1,-1
7,6,30,90,26,-1,1,1,-1
8,14,30,90,26,1,1,1,-1
9,6,0,0,40,-1,-1,-1,1
10,14,0,0,40,1,-1,-1,1
11,6,30,0,40,-1,1,-1,1
12,14,30,0,40,1,1,-1,1
13,6,0,90,40,-1,-1,1,1
14,14,0,90,40,1,-1,1,1
15,6,30,90,40,-1,1,1,1
16,14,30,90,40,1,1,1,1
17,18,15,45,33,2,0,0,0
18,10,-15,45,33,0,-2,0,0
19,10,45,45,33,0,2,0,0
20,10,15,-45,33,0,0,-2,0
21,10,15,135,33,0,0,2,0
22,10,15,45,19,0,0,0,-2
23,10,15,45,47,0,0,0,2
24,10,15,45,33,0,0,0,0
