BM,MFR,T,PI,MC,SP_min,SP_mean,SP_max,DP_min,DP_mean,DP_max,TP_min,TP_mean,TP_max,VMAG_mean,VMAG_max,AV_min,AV_mean,AV_max,RV_min,RV_mean,RV_max,TV_min,TV_mean,TV_max,k_min,eps_min,eps_mean,eps_max,omega_min,omega_max,Re_min,Re_mean,LES_mean,LES_max
0.0076205,0.2143674,1.4991627,359.2355543000913,9.712453592,-2667.58,35.4214,1679.176,4.45,930.6458,4711.32,-1825.069,966.0658,3665.356,34.99466,80.39198,-17.24984,0.3140741,22.71866,-44.25861,6.43746,61.95192,-76.39432,-28.55184,45.87735,0.2883126,48.14354,74170.64,6599563,32485.44,3037953,2.206,3545.376,1.776741,6.802263
0.0076205,0.2663524,2.3531507,391.762547081289,11.562756204000001,-3744.857,50.80046,1904.685,5.54,1162.912,5143.233,-3029.401,1213.705,4108.21,39.45048,91.605,-21.11995,-0.671879,19.08795,-41.10089,10.01952,79.59488,-79.59648,-32.21108,45.24604,0.08292409,60.54268,95386.91,8397280,41013.85,2956677,1.106695,2627.643,1.566891,5.7326
0.0092802,0.2190732,2.1554773,343.4042149718544,10.044856008,-3952.848,-244.0509,1927.814,2.51784,1150.967,6937.054,-2054.682,906.9141,6246.727,37.56009,106.1613,-17.59614,0.006785185,12.62605,-65.38663,5.30341,73.65128,-80.55291,-29.38593,56.56898,0.2796352,45.21461,111039.7,6766697,37535.55,2958597,4.471389,3479.692,1.394873,5.883417
0.0092802,0.2584905,3.5092785,366.4657855262808,12.337795768,-5794.262,-420.2779,1856.538,2.706695,1842.949,9269.551,-3289.391,1422.662,6980.992,47.03015,122.9546,-34.43703,-0.9073822,16.22242,-53.31908,8.65654,83.18623,-105.2376,-39.79462,45.72693,0.04648028,61.8252,167617.2,10354490,51205.75,3259544,1.55019,2581.313,1.215597,5.835799
0.0083165,0.2229128,1.6805695,361.73945726860075,9.866306091999999,-3567.08,60.63665,1997.898,6.472393,981.039,7009.865,-1952.54,1041.673,6969.878,35.65534,106.7362,-17.65431,0.2225802,24.51558,-43.57324,7.103716,62.86353,-87.99873,-28.58687,49.66133,0.3153537,58.66986,79217.45,9113063,32880.31,3262088,3.030935,3556.149,1.620705,5.844505
0.0083165,0.3127027,3.3082281,434.223088223499,11.921180336,-7144.079,-69.19938,2165.653,6.873396,1463.403,10490.13,-4224.341,1394.197,8691.863,44.12664,130.3168,-44.92739,0.4893131,31.69991,-67.29999,11.3521,84.18698,-101.1906,-34.96302,59.85645,0.2702675,81.61225,133935.9,14769870,46250.06,3523946,1.806499,2554.776,1.387778,4.836671
0.0103073,0.2319396,2.4120214,353.2744885365346,10.235318392000002,-4289.014,-135.3796,2184.195,3.591141,1179.396,8071.16,-2670.898,1044.012,8265.355,38.32409,111.1167,-15.82212,0.1121871,15.94991,-59.49611,4.556339,71.51856,-103.8137,-29.67498,63.9627,0.2989817,52.95457,103095.7,6141797,38107.64,2961045,5.946839,3451.863,1.420024,5.68515
0.0103073,0.339328,5.1795741,453.3155963891445,12.782212152,-6118.825,-382.8782,3006.0,17.06904,2279.148,12890.57,-4891.077,1896.257,10967.29,53.09929,144.2693,-32.36927,-0.2347833,36.11311,-62.44986,10.21751,71.53228,-134.3624,-45.03517,40.27831,0.2428,102.84,198593.0,20750860,52456.55,3576837,3.773573,2329.97,1.231448,7.020881
0.0118274,0.2449662,1.8498057,377.7016742485894,11.547543892,-3013.905,46.22579,1845.227,3.617232,943.406,4782.824,-2410.325,989.6319,4023.521,35.8576,82.3089,-21.97223,-0.7597933,19.2515,-45.47932,7.316442,65.83315,-74.41129,-28.37436,45.6087,0.1693507,63.33445,62636.87,5477076,32268.89,2868833,2.149476,3506.168,1.581269,6.261945
0.0118274,0.2789387,2.4080009,400.0679759723364,14.393629739999998,-3696.452,-76.91343,1985.571,2.256565,1207.246,4812.819,-3249.666,1130.33,4291.917,40.6959,88.64116,-25.25903,-2.779396,20.82587,-32.57486,12.26704,75.61897,-70.70163,-31.47764,49.32964,0.0728671,75.79005,92309.39,7553817,42095.26,3031582,0.8695275,2592.941,1.400938,5.44934
0.015708299999999998,0.2455835,2.8727149,357.32384978552614,12.323568112,-5349.83,-586.5765,2409.136,5.54117,1502.91,8546.313,-2330.142,934.3258,6726.087,42.3422,117.979,-37.27927,-0.7811164,25.82,-61.51451,7.274965,82.50109,-86.17282,-32.89884,55.1787,0.316965,59.13086,149058.6,8769398,41536.15,3155908,4.457727,3690.659,1.405392,7.038743
0.015708299999999998,0.2133557,2.3891079,319.03532480533335,16.204723724,-3478.629,-539.5,1627.579,2.617494,1647.105,7241.054,-2266.321,1222.848,5952.124,44.38548,108.729,-28.1661,-2.667129,16.93492,-36.88586,8.39834,67.72095,-92.72352,-38.56423,36.79787,0.2735342,42.98835,144011.0,7639021,50456.45,3203521,1.992826,2138.342,1.285021,5.470959
0.0127947,0.263198,2.2492138,389.38525794445155,11.783683719999999,-4778.478,97.45381,1868.769,5.477871,1118.703,8058.594,-2002.154,1216.156,7481.786,38.45584,114.4077,-22.68523,-0.3290413,22.01424,-54.17403,7.891549,69.95216,-93.27021,-30.0465,50.69563,0.3406308,70.02712,77722.77,8982954,33053.57,3307446,4.110328,3211.323,1.400143,6.603467
0.0127947,0.3201891,3.4157382,436.4379391976883,14.944993476,-5627.815,-112.2205,2681.04,14.35403,1656.596,9661.77,-3651.637,1544.373,7775.292,47.32248,125.299,-47.67554,-2.497509,38.45858,-50.61307,12.8158,77.81709,-102.7569,-36.35276,52.78962,0.2938617,82.50969,121665.3,10512860,46983.5,3348911,2.586293,2294.001,1.235048,4.831213
0.0174475,0.2634302,3.1582962,374.883092157409,12.646005559999999,-5434.293,-334.7691,2087.724,4.552389,1504.42,9755.409,-2309.779,1169.647,9358.288,43.34064,124.9685,-25.60209,-0.6332854,22.79985,-52.59529,6.41498,72.77388,-117.8738,-35.88187,60.6042,0.3396602,69.17805,140584.6,11320400,40741.25,3399237,5.770487,3983.639,1.451007,6.326782
0.0174475,0.3867694,5.7926761,446.3,16.957075692000004,-7578.238,-716.039,1991.152,24.74768,2686.47,13362.3,-5274.0,1970.421,10071.77,57.62856,147.7012,-53.8407,-3.014306,41.49086,-55.25338,11.73809,70.45,-141.512,-48.96705,42.56842,0.1739,106.6,178549.8,20655800,54986.01,3928653,2.308,1870.938,1.116617,4.901406
0.0102986,0.3542864,4.7152533,469.8698631189634,14.574111576,-6494.484,-439.3657,3739.293,5.459578,1894.583,10754.52,-4193.287,1455.21,7408.405,49.3857,132.468,-33.31,-1.804681,25.2134,-51.01649,12.67445,90.23711,-105.8327,-40.27875,42.31673,0.07406674,98.73505,196827.9,14864160,50731.61,3599878,1.430523,2392.806,1.26435,5.451572
0.0102986,0.2554171,1.9609366,385.9363670057747,12.446,-3518.124,265.5625,1848.237,2.074147,1002.761,4822.125,-2720.349,1268.316,4098.182,36.69092,88.64393,-33.98487,-1.04831,20.07554,-28.92392,9.624303,70.43871,-73.67538,-29.07777,70.43871,0.1174718,59.55447,65411.64,12242000,34782.7,3244312,1.218394,2567.837,1.498709,5.427483
0.0199887,0.1813085,2.4282039,281.41006957007954,14.771,-3597.608,-572.8249,1619.658,5.213968,1871.036,8942.366,-2647.615,1298.19,7662.56,45.80097,120.8227,-27.7268,-1.667744,21.30958,-29.95475,4.880731,64.9,-113.7905,-40.4015,52.35854,0.2210665,28.83,191964.4,26201630,50084.24,4122623,5.396542,2730.198,1.312,6.869571
0.0102965,0.2260533,2.1694668,345.66678410066197,12.108003232,-3511.126,-39.29993,1532.0,2.143162,1168.07,4215.454,-2093.862,874.0,4783.992,38.9216,82.93672,-16.3967,-1.467085,12.83916,-42.72961,7.843017,70.90183,-74.82562,-29.13,43.24934,0.06431982,46.90875,104268.2,7935367,38706.01,2719279,1.08181,3356.331,1.656353,7.990738
0.012513,0.2379,2.469,373.4,12.729956832,-4404.0,-28.65071,1580.331,7.64,1252.0,6820.0,-1974.258,1195.0,6624.0,39.58,98.5,-18.15068,-1.488116,26.48714,-42.58,7.546,60.62756,-91.4,-32.48,36.26,0.2348504,56.1,78591.69,5796031,40118.0,2760204,2.560317,2783.312,1.673,8.58085
0.0058272,0.210347,2.1751648,334.57260321780774,9.473041964,-3569.988,35.75931,1937.635,5.233365,1264.671,6608.647,-1669.4,1300.419,6359.531,39.82127,103.4424,-11.91917,1.115,17.18782,-60.23082,7.551951,66.23978,-81.8233,-33.54174,44.84259,0.19,42.18193,116047.3,8599250,45087.67,3291688,1.376174,3047.326,1.499026,5.278794
0.014977299999999999,0.2698861,3.0920597,379.9261698039812,14.449066495999999,-4862.191,-272.2053,2200.017,10.80412,1748.636,8511.178,-2882.834,1476.417,6709.39,47.87428,117.7221,-29.59227,-1.125115,25.03745,-45.36943,11.2622,73.70331,-92.25856,-38.75268,47.29214,0.3733331,86.2065,105360.7,8612902,42854.63,3041138,2.878397,2823.326,1.202043,4.389264
0.0102979,0.2700566,3.358,382.2,12.081507884,-6415.909,-61.43225,2893.077,5.259584,1592.948,9441.548,-3542.331,1531.5,7438.077,44.73794,123.7803,-22.4308,-0.7200706,17.58,-71.21212,8.97478,84.46342,-94.00136,-36.92361,56.49742,0.1618471,67.31207,115915.7,9324601,43079.98,3248260,1.668248,2808.277,1.306408,5.724399
